root@344b8bedf1b85760:/# gcloud projects list
PROJECT_ID             NAME                   PROJECT_NUMBER
devops1-328110         DevOps1                162662918912
doc-051020210433       doc-051020210433       424148077057
doc-0510210410         doc-0510210410         350126570557
doc-181020210122       doc-181020210122       657260083184
doc-181020210934       doc-181020210934       979175009572
doc-20211006           doc-20211006           142395974042
doc-20211006064419     doc-20211006064419     837081631785
doc-docdocdoc          doc-docdocdoc          63382078986
